building_chain	settlement_type
wh2_dlc12_under_empire_discovery_assassins	wh3_main_dae_nurgle
wh2_dlc12_under_empire_discovery_deeper_tunnels	wh3_main_dae_nurgle
wh2_dlc12_under_empire_food_kidnappers	wh3_main_dae_nurgle
wh2_dlc12_under_empire_food_raiding_camp	wh3_main_dae_nurgle
wh2_dlc12_under_empire_money_crafting	wh3_main_dae_nurgle
wh2_dlc12_under_empire_money_thieves	wh3_main_dae_nurgle
wh2_dlc12_under_empire_settlement_stronghold	wh3_main_dae_nurgle
wh2_dlc12_under_empire_settlement_warren	wh3_main_dae_nurgle
wh2_dlc12_under_empire_warpstone_mine	wh3_main_dae_nurgle
wh2_dlc12_under_empire_warpstone_refinery	wh3_main_dae_nurgle
wh2_dlc12_under_empire_warpstone_strip_mine	wh3_main_dae_nurgle
wh2_dlc14_special_nagashizzar_other	wh3_main_dae_nurgle
wh2_dlc14_under_empire_annexation_plague_cauldron	wh3_main_dae_nurgle
wh2_dlc17_silent_sanctum_ambush	wh3_main_dae_nurgle
wh2_dlc17_silent_sanctum_core	wh3_main_dae_nurgle
wh2_dlc17_silent_sanctum_def_boost	wh3_main_dae_nurgle
wh2_dlc17_silent_sanctum_melee_boost	wh3_main_dae_nurgle
wh2_dlc17_silent_sanctum_ranged_boost	wh3_main_dae_nurgle
wh2_dlc17_silent_sanctum_recruitment	wh3_main_dae_nurgle
wh2_dlc17_silent_sanctum_replenishment	wh3_main_dae_nurgle
wh2_dlc17_silent_sanctum_transport	wh3_main_dae_nurgle
wh2_dlc17_silent_sanctum_upkeep	wh3_main_dae_nurgle
wh2_main_special_altar_of_ultimate_darkness	wh3_main_dae_nurgle
wh2_main_special_pyramid_of_nagash_other	wh3_main_dae_nurgle
wh2_main_special_shrine_of_asuryan_other	wh3_main_dae_nurgle
wh2_main_special_shrine_of_khaine_other	wh3_main_dae_nurgle
wh2_main_wef_oak_of_ages_occupied	wh3_main_dae_nurgle
wh3_dlc23_chd_allied_outpost	wh3_main_dae_nurgle
wh3_main_brt_allied_outpost	wh3_main_dae_nurgle
wh3_main_bst_allied_outpost	wh3_main_dae_nurgle
wh3_main_chs_allied_outpost	wh3_main_dae_nurgle
wh3_main_cst_allied_outpost	wh3_main_dae_nurgle
wh3_main_cth_allied_outpost	wh3_main_dae_nurgle
wh3_main_dae_advanced_2_nur	wh3_main_dae_nurgle
wh3_main_dae_advanced_nur	wh3_main_dae_nurgle
wh3_main_dae_allied_outpost	wh3_main_dae_nurgle
wh3_main_dae_barracks_nur	wh3_main_dae_nurgle
wh3_main_dae_control_nur	wh3_main_dae_nurgle
wh3_main_dae_garrison_major	wh3_main_dae_nurgle
wh3_main_dae_garrison_minor	wh3_main_dae_nurgle
wh3_main_dae_growth_gold_nur	wh3_main_dae_nurgle
wh3_main_dae_growth_recruit_nur	wh3_main_dae_nurgle
wh3_main_dae_nur_settlement_major	wh3_main_dae_nurgle
wh3_main_dae_nur_settlement_minor	wh3_main_dae_nurgle
wh3_main_dae_port	wh3_main_dae_nurgle
wh3_main_dae_resource_animals	wh3_main_dae_nurgle
wh3_main_dae_resource_dyes	wh3_main_dae_nurgle
wh3_main_dae_resource_furs	wh3_main_dae_nurgle
wh3_main_dae_resource_gems	wh3_main_dae_nurgle
wh3_main_dae_resource_gold	wh3_main_dae_nurgle
wh3_main_dae_resource_iron	wh3_main_dae_nurgle
wh3_main_dae_resource_ivory	wh3_main_dae_nurgle
wh3_main_dae_resource_marble	wh3_main_dae_nurgle
wh3_main_dae_resource_medicine	wh3_main_dae_nurgle
wh3_main_dae_resource_obsidian	wh3_main_dae_nurgle
wh3_main_dae_resource_pasture	wh3_main_dae_nurgle
wh3_main_dae_resource_pottery	wh3_main_dae_nurgle
wh3_main_dae_resource_salt	wh3_main_dae_nurgle
wh3_main_dae_resource_spices	wh3_main_dae_nurgle
wh3_main_dae_resource_wine	wh3_main_dae_nurgle
wh3_main_dae_resource_wood	wh3_main_dae_nurgle
wh3_main_dae_settlement_minor	wh3_main_dae_nurgle
wh3_main_dae_temple_nur	wh3_main_dae_nurgle
wh3_main_def_allied_outpost	wh3_main_dae_nurgle
wh3_main_dwf_allied_outpost	wh3_main_dae_nurgle
wh3_main_emp_allied_outpost	wh3_main_dae_nurgle
wh3_main_foreign_slot_discovery_dae	wh3_main_dae_nurgle
wh3_main_grn_allied_outpost	wh3_main_dae_nurgle
wh3_main_hef_allied_outpost	wh3_main_dae_nurgle
wh3_main_kho_allied_outpost	wh3_main_dae_nurgle
wh3_main_kho_cult_1	wh3_main_dae_nurgle
wh3_main_kho_cult_2	wh3_main_dae_nurgle
wh3_main_kho_cult_3	wh3_main_dae_nurgle
wh3_main_kho_cult_4	wh3_main_dae_nurgle
wh3_main_ksl_allied_outpost	wh3_main_dae_nurgle
wh3_main_lzd_allied_outpost	wh3_main_dae_nurgle
wh3_main_nor_allied_outpost	wh3_main_dae_nurgle
wh3_main_nur_allied_outpost	wh3_main_dae_nurgle
wh3_main_nur_cult_1	wh3_main_dae_nurgle
wh3_main_nur_cult_2	wh3_main_dae_nurgle
wh3_main_nur_cult_3	wh3_main_dae_nurgle
wh3_main_nur_cult_4	wh3_main_dae_nurgle
wh3_main_ogr_allied_outpost	wh3_main_dae_nurgle
wh3_main_skv_allied_outpost	wh3_main_dae_nurgle
wh3_main_sla_allied_outpost	wh3_main_dae_nurgle
wh3_main_sla_cult_1	wh3_main_dae_nurgle
wh3_main_sla_cult_2	wh3_main_dae_nurgle
wh3_main_sla_cult_3	wh3_main_dae_nurgle
wh3_main_sla_cult_4	wh3_main_dae_nurgle
wh3_main_special_settlement_gate_dae	wh3_main_dae_nurgle
wh3_main_tmb_allied_outpost	wh3_main_dae_nurgle
wh3_main_tze_allied_outpost	wh3_main_dae_nurgle
wh3_main_tze_cult_1	wh3_main_dae_nurgle
wh3_main_tze_cult_2	wh3_main_dae_nurgle
wh3_main_tze_cult_3	wh3_main_dae_nurgle
wh3_main_tze_cult_4	wh3_main_dae_nurgle
wh3_main_vmp_allied_outpost	wh3_main_dae_nurgle
wh3_main_wef_allied_outpost	wh3_main_dae_nurgle
wh2_dlc11_foreign_corruption	wh3_main_dae_slaanesh
wh2_dlc11_foreign_income	wh3_main_dae_slaanesh
wh2_dlc11_foreign_infamy	wh3_main_dae_slaanesh
wh2_dlc11_foreign_trade	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_annexation_doomsday	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_annexation_war_camp	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_discovery_assassins	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_discovery_deeper_tunnels	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_food_kidnappers	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_food_raiding_camp	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_money_crafting	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_money_thieves	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_settlement_stronghold	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_settlement_warren	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_warpstone_mine	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_warpstone_refinery	wh3_main_dae_slaanesh
wh2_dlc12_under_empire_warpstone_strip_mine	wh3_main_dae_slaanesh
wh2_dlc14_special_nagashizzar_other	wh3_main_dae_slaanesh
wh2_dlc14_under_empire_annexation_plague_cauldron	wh3_main_dae_slaanesh
wh2_dlc17_silent_sanctum_ambush	wh3_main_dae_slaanesh
wh2_dlc17_silent_sanctum_core	wh3_main_dae_slaanesh
wh2_dlc17_silent_sanctum_def_boost	wh3_main_dae_slaanesh
wh2_dlc17_silent_sanctum_melee_boost	wh3_main_dae_slaanesh
wh2_dlc17_silent_sanctum_ranged_boost	wh3_main_dae_slaanesh
wh2_dlc17_silent_sanctum_recruitment	wh3_main_dae_slaanesh
wh2_dlc17_silent_sanctum_replenishment	wh3_main_dae_slaanesh
wh2_dlc17_silent_sanctum_transport	wh3_main_dae_slaanesh
wh2_dlc17_silent_sanctum_upkeep	wh3_main_dae_slaanesh
wh2_main_special_altar_of_ultimate_darkness	wh3_main_dae_slaanesh
wh2_main_special_pyramid_of_nagash_other	wh3_main_dae_slaanesh
wh2_main_special_shrine_of_asuryan_other	wh3_main_dae_slaanesh
wh2_main_special_shrine_of_khaine_other	wh3_main_dae_slaanesh
wh2_main_wef_oak_of_ages_occupied	wh3_main_dae_slaanesh
wh3_dlc23_chd_allied_outpost	wh3_main_dae_slaanesh
wh3_main_brt_allied_outpost	wh3_main_dae_slaanesh
wh3_main_bst_allied_outpost	wh3_main_dae_slaanesh
wh3_main_chs_allied_outpost	wh3_main_dae_slaanesh
wh3_main_cst_allied_outpost	wh3_main_dae_slaanesh
wh3_main_cth_allied_outpost	wh3_main_dae_slaanesh
wh3_main_dae_advanced_2_sla	wh3_main_dae_slaanesh
wh3_main_dae_advanced_sla	wh3_main_dae_slaanesh
wh3_main_dae_allied_outpost	wh3_main_dae_slaanesh
wh3_main_dae_barracks_sla	wh3_main_dae_slaanesh
wh3_main_dae_control_sla	wh3_main_dae_slaanesh
wh3_main_dae_garrison_major	wh3_main_dae_slaanesh
wh3_main_dae_garrison_minor	wh3_main_dae_slaanesh
wh3_main_dae_growth_gold_sla	wh3_main_dae_slaanesh
wh3_main_dae_growth_recruit_sla	wh3_main_dae_slaanesh
wh3_main_dae_port	wh3_main_dae_slaanesh
wh3_main_dae_resource_animals	wh3_main_dae_slaanesh
wh3_main_dae_resource_dyes	wh3_main_dae_slaanesh
wh3_main_dae_resource_furs	wh3_main_dae_slaanesh
wh3_main_dae_resource_gems	wh3_main_dae_slaanesh
wh3_main_dae_resource_gold	wh3_main_dae_slaanesh
wh3_main_dae_resource_iron	wh3_main_dae_slaanesh
wh3_main_dae_resource_ivory	wh3_main_dae_slaanesh
wh3_main_dae_resource_marble	wh3_main_dae_slaanesh
wh3_main_dae_resource_medicine	wh3_main_dae_slaanesh
wh3_main_dae_resource_obsidian	wh3_main_dae_slaanesh
wh3_main_dae_resource_pasture	wh3_main_dae_slaanesh
wh3_main_dae_resource_pottery	wh3_main_dae_slaanesh
wh3_main_dae_resource_salt	wh3_main_dae_slaanesh
wh3_main_dae_resource_spices	wh3_main_dae_slaanesh
wh3_main_dae_resource_wine	wh3_main_dae_slaanesh
wh3_main_dae_resource_wood	wh3_main_dae_slaanesh
wh3_main_dae_settlement_minor	wh3_main_dae_slaanesh
wh3_main_dae_sla_settlement_major	wh3_main_dae_slaanesh
wh3_main_dae_sla_settlement_minor	wh3_main_dae_slaanesh
wh3_main_dae_temple_sla	wh3_main_dae_slaanesh
wh3_main_def_allied_outpost	wh3_main_dae_slaanesh
wh3_main_dwf_allied_outpost	wh3_main_dae_slaanesh
wh3_main_emp_allied_outpost	wh3_main_dae_slaanesh
wh3_main_foreign_slot_discovery_dae	wh3_main_dae_slaanesh
wh3_main_grn_allied_outpost	wh3_main_dae_slaanesh
wh3_main_hef_allied_outpost	wh3_main_dae_slaanesh
wh3_main_kho_allied_outpost	wh3_main_dae_slaanesh
wh3_main_kho_cult_1	wh3_main_dae_slaanesh
wh3_main_kho_cult_2	wh3_main_dae_slaanesh
wh3_main_kho_cult_3	wh3_main_dae_slaanesh
wh3_main_kho_cult_4	wh3_main_dae_slaanesh
wh3_main_ksl_allied_outpost	wh3_main_dae_slaanesh
wh3_main_lzd_allied_outpost	wh3_main_dae_slaanesh
wh3_main_nor_allied_outpost	wh3_main_dae_slaanesh
wh3_main_nur_allied_outpost	wh3_main_dae_slaanesh
wh3_main_nur_cult_1	wh3_main_dae_slaanesh
wh3_main_nur_cult_2	wh3_main_dae_slaanesh
wh3_main_nur_cult_3	wh3_main_dae_slaanesh
wh3_main_nur_cult_4	wh3_main_dae_slaanesh
wh3_main_ogr_allied_outpost	wh3_main_dae_slaanesh
wh3_main_skv_allied_outpost	wh3_main_dae_slaanesh
wh3_main_sla_allied_outpost	wh3_main_dae_slaanesh
wh3_main_sla_cult_1	wh3_main_dae_slaanesh
wh3_main_sla_cult_2	wh3_main_dae_slaanesh
wh3_main_sla_cult_3	wh3_main_dae_slaanesh
wh3_main_sla_cult_4	wh3_main_dae_slaanesh
wh3_main_special_settlement_gate_dae	wh3_main_dae_slaanesh
wh3_main_tmb_allied_outpost	wh3_main_dae_slaanesh
wh3_main_tze_allied_outpost	wh3_main_dae_slaanesh
wh3_main_tze_cult_1	wh3_main_dae_slaanesh
wh3_main_tze_cult_2	wh3_main_dae_slaanesh
wh3_main_tze_cult_3	wh3_main_dae_slaanesh
wh3_main_tze_cult_4	wh3_main_dae_slaanesh
wh3_main_vmp_allied_outpost	wh3_main_dae_slaanesh
wh3_main_wef_allied_outpost	wh3_main_dae_slaanesh
wh2_dlc11_foreign_corruption	wh3_main_dae_tzeentch
wh2_dlc11_foreign_income	wh3_main_dae_tzeentch
wh2_dlc11_foreign_infamy	wh3_main_dae_tzeentch
wh2_dlc11_foreign_trade	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_annexation_doomsday	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_annexation_war_camp	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_discovery_assassins	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_discovery_deeper_tunnels	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_food_kidnappers	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_food_raiding_camp	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_money_crafting	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_money_thieves	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_settlement_stronghold	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_settlement_warren	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_warpstone_mine	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_warpstone_refinery	wh3_main_dae_tzeentch
wh2_dlc12_under_empire_warpstone_strip_mine	wh3_main_dae_tzeentch
wh2_dlc14_special_nagashizzar_other	wh3_main_dae_tzeentch
wh2_dlc14_under_empire_annexation_plague_cauldron	wh3_main_dae_tzeentch
wh2_dlc17_silent_sanctum_ambush	wh3_main_dae_tzeentch
wh2_dlc17_silent_sanctum_core	wh3_main_dae_tzeentch
wh2_dlc17_silent_sanctum_def_boost	wh3_main_dae_tzeentch
wh2_dlc17_silent_sanctum_melee_boost	wh3_main_dae_tzeentch
wh2_dlc17_silent_sanctum_ranged_boost	wh3_main_dae_tzeentch
wh2_dlc17_silent_sanctum_recruitment	wh3_main_dae_tzeentch
wh2_dlc17_silent_sanctum_replenishment	wh3_main_dae_tzeentch
wh2_dlc17_silent_sanctum_transport	wh3_main_dae_tzeentch
wh2_dlc17_silent_sanctum_upkeep	wh3_main_dae_tzeentch
wh2_main_special_altar_of_ultimate_darkness	wh3_main_dae_tzeentch
wh2_main_special_pyramid_of_nagash_other	wh3_main_dae_tzeentch
wh2_main_special_shrine_of_asuryan_other	wh3_main_dae_tzeentch
wh2_main_special_shrine_of_khaine_other	wh3_main_dae_tzeentch
wh2_main_wef_oak_of_ages_occupied	wh3_main_dae_tzeentch
wh3_dlc23_chd_allied_outpost	wh3_main_dae_tzeentch
wh3_main_brt_allied_outpost	wh3_main_dae_tzeentch
wh3_main_bst_allied_outpost	wh3_main_dae_tzeentch
wh3_main_chs_allied_outpost	wh3_main_dae_tzeentch
wh3_main_cst_allied_outpost	wh3_main_dae_tzeentch
wh3_main_cth_allied_outpost	wh3_main_dae_tzeentch
wh3_main_dae_advanced_2_tze	wh3_main_dae_tzeentch
wh3_main_dae_advanced_tze	wh3_main_dae_tzeentch
wh3_main_dae_allied_outpost	wh3_main_dae_tzeentch
wh3_main_dae_barracks_tze	wh3_main_dae_tzeentch
wh3_main_dae_control_tze	wh3_main_dae_tzeentch
wh3_main_dae_garrison_major	wh3_main_dae_tzeentch
wh3_main_dae_garrison_minor	wh3_main_dae_tzeentch
wh3_main_dae_growth_gold_tze	wh3_main_dae_tzeentch
wh3_main_dae_growth_recruit_tze	wh3_main_dae_tzeentch
wh3_main_dae_port	wh3_main_dae_tzeentch
wh3_main_dae_resource_animals	wh3_main_dae_tzeentch
wh3_main_dae_resource_dyes	wh3_main_dae_tzeentch
wh3_main_dae_resource_furs	wh3_main_dae_tzeentch
wh3_main_dae_resource_gems	wh3_main_dae_tzeentch
wh3_main_dae_resource_gold	wh3_main_dae_tzeentch
wh3_main_dae_resource_iron	wh3_main_dae_tzeentch
wh3_main_dae_resource_ivory	wh3_main_dae_tzeentch
wh3_main_dae_resource_marble	wh3_main_dae_tzeentch
wh3_main_dae_resource_medicine	wh3_main_dae_tzeentch
wh3_main_dae_resource_obsidian	wh3_main_dae_tzeentch
wh3_main_dae_resource_pasture	wh3_main_dae_tzeentch
wh3_main_dae_resource_pottery	wh3_main_dae_tzeentch
wh3_main_dae_resource_salt	wh3_main_dae_tzeentch
wh3_main_dae_resource_spices	wh3_main_dae_tzeentch
wh3_main_dae_resource_wine	wh3_main_dae_tzeentch
wh3_main_dae_resource_wood	wh3_main_dae_tzeentch
wh3_main_dae_settlement_minor	wh3_main_dae_tzeentch
wh3_main_dae_temple_tze	wh3_main_dae_tzeentch
wh3_main_dae_tze_settlement_major	wh3_main_dae_tzeentch
wh3_main_dae_tze_settlement_minor	wh3_main_dae_tzeentch
wh3_main_def_allied_outpost	wh3_main_dae_tzeentch
wh3_main_dwf_allied_outpost	wh3_main_dae_tzeentch
wh3_main_emp_allied_outpost	wh3_main_dae_tzeentch
wh3_main_foreign_slot_discovery_dae	wh3_main_dae_tzeentch
wh3_main_grn_allied_outpost	wh3_main_dae_tzeentch
wh3_main_hef_allied_outpost	wh3_main_dae_tzeentch
wh3_main_kho_allied_outpost	wh3_main_dae_tzeentch
wh3_main_kho_cult_1	wh3_main_dae_tzeentch
wh3_main_kho_cult_2	wh3_main_dae_tzeentch
wh3_main_kho_cult_3	wh3_main_dae_tzeentch
wh3_main_kho_cult_4	wh3_main_dae_tzeentch
wh3_main_ksl_allied_outpost	wh3_main_dae_tzeentch
wh3_main_lzd_allied_outpost	wh3_main_dae_tzeentch
wh3_main_nor_allied_outpost	wh3_main_dae_tzeentch
wh3_main_nur_allied_outpost	wh3_main_dae_tzeentch
wh3_main_nur_cult_1	wh3_main_dae_tzeentch
wh3_main_nur_cult_2	wh3_main_dae_tzeentch
wh3_main_nur_cult_3	wh3_main_dae_tzeentch
wh3_main_nur_cult_4	wh3_main_dae_tzeentch
wh3_main_ogr_allied_outpost	wh3_main_dae_tzeentch
wh3_main_skv_allied_outpost	wh3_main_dae_tzeentch
wh3_main_sla_allied_outpost	wh3_main_dae_tzeentch
wh3_main_sla_cult_1	wh3_main_dae_tzeentch
wh3_main_sla_cult_2	wh3_main_dae_tzeentch
wh3_main_sla_cult_3	wh3_main_dae_tzeentch
wh3_main_sla_cult_4	wh3_main_dae_tzeentch
wh3_main_special_settlement_gate_dae	wh3_main_dae_tzeentch
wh3_main_tmb_allied_outpost	wh3_main_dae_tzeentch
wh3_main_tze_allied_outpost	wh3_main_dae_tzeentch
wh3_main_tze_cult_1	wh3_main_dae_tzeentch
wh3_main_tze_cult_2	wh3_main_dae_tzeentch
wh3_main_tze_cult_3	wh3_main_dae_tzeentch
wh3_main_tze_cult_4	wh3_main_dae_tzeentch
wh3_main_vmp_allied_outpost	wh3_main_dae_tzeentch
wh3_main_wef_allied_outpost	wh3_main_dae_tzeentch
